"Actor Name"
"PENELOPE GUINESS"
"NICK WAHLBERG"
"ED CHASE"
"JENNIFER DAVIS"
"JOHNNY LOLLOBRIGIDA"
"BETTE NICHOLSON"
"GRACE MOSTEL"
"MATTHEW JOHANSSON"
"JOE SWANK"
"CHRISTIAN GABLE"
"ZERO CAGE"
"KARL BERRY"
"UMA WOOD"
"VIVIEN BERGEN"
"CUBA OLIVIER"
"FRED COSTNER"
"HELEN VOIGHT"
"DAN TORN"
"BOB FAWCETT"
"LUCILLE TRACY"
"KIRSTEN PALTROW"
"ELVIS MARX"
"SANDRA KILMER"
"CAMERON STREEP"
"KEVIN BLOOM"
"RIP CRAWFORD"
"JULIA MCQUEEN"
"WOODY HOFFMAN"
"ALEC WAYNE"
"SANDRA PECK"
"SISSY SOBIESKI"
"TIM HACKMAN"
"MILLA PECK"
"AUDREY OLIVIER"
"JUDY DEAN"
"BURT DUKAKIS"
"VAL BOLGER"
"TOM MCKELLEN"
"GOLDIE BRODY"
"JOHNNY CAGE"
"JODIE DEGENERES"
"TOM MIRANDA"
"KIRK JOVOVICH"
"NICK STALLONE"
"REESE KILMER"
"PARKER GOLDBERG"
"JULIA BARRYMORE"
"FRANCES DAY-LEWIS"
"ANNE CRONYN"
"NATALIE HOPKINS"
"GARY PHOENIX"
"CARMEN HUNT"
"MENA TEMPLE"
"PENELOPE PINKETT"
"FAY KILMER"
"DAN HARRIS"
"JUDE CRUISE"
"CHRISTIAN AKROYD"
"DUSTIN TAUTOU"
"HENRY BERRY"
"CHRISTIAN NEESON"
"JAYNE NEESON"
"CAMERON WRAY"
"RAY JOHANSSON"
"ANGELA HUDSON"
"MARY TANDY"
"JESSICA BAILEY"
"RIP WINSLET"
"KENNETH PALTROW"
"MICHELLE MCCONAUGHEY"
"ADAM GRANT"
"SEAN WILLIAMS"
"GARY PENN"
"MILLA KEITEL"
"BURT POSEY"
"ANGELINA ASTAIRE"
"CARY MCCONAUGHEY"
"GROUCHO SINATRA"
"MAE HOFFMAN"
"RALPH CRUZ"
"SCARLETT DAMON"
"WOODY JOLIE"
"BEN WILLIS"
"JAMES PITT"
"MINNIE ZELLWEGER"
"GREG CHAPLIN"
"SPENCER PECK"
"KENNETH PESCI"
"CHARLIZE DENCH"
"SEAN GUINESS"
"CHRISTOPHER BERRY"
"KIRSTEN AKROYD"
"ELLEN PRESLEY"
"KENNETH TORN"
"DARYL WAHLBERG"
"GENE WILLIS"
"MEG HAWKE"
"CHRIS BRIDGES"
"JIM MOSTEL"
"SPENCER DEPP"
